Metric_1,Metric_2,Metric_3,Metric_4,Metric_5,Metric_6,Metric_7,Metric_8,Metric_9,name
0.8413,0.0628,0.5188,0.4851,0.9234,0.3475,0.7383,0.2983,0.6134,Item_001
0.1587,0.8391,0.1947,0.6432,0.4521,0.8812,0.4015,0.7491,0.5287,Item_002
0.9042,0.2435,0.8361,0.0215,0.7891,0.5167,0.6924,0.1151,0.8953,Item_003
0.3771,0.6721,0.4573,0.8876,0.1238,0.3025,0.1833,0.5894,0.3167,Item_004
0.7845,0.0894,0.6021,0.7319,0.6781,0.7491,0.5471,0.9328,0.0456,Item_005
0.2198,0.5543,0.2874,0.1983,0.0345,0.1234,0.8917,0.4781,0.7813,Item_006
0.6511,0.9103,0.7432,0.5211,0.5012,0.5678,0.3219,0.0982,0.6234,Item_007
0.4288,0.3321,0.9108,0.3478,0.8123,0.9871,0.0123,0.2765,0.4321,Item_008
0.0532,0.7654,0.0567,0.9543,0.2451,0.4321,0.6754,0.8123,0.1765,Item_009
0.9981,0.1234,0.4321,0.2876,0.6789,0.0234,0.9345,0.3456,0.5891,Item_010
0.5213,0.6098,0.6781,0.7123,0.3214,0.7891,0.2345,0.5671,0.9123,Item_011
0.1124,0.2345,0.8123,0.4567,0.5678,0.3456,0.6789,0.9012,0.0456,Item_012
0.8765,0.4567,0.2345,0.6789,0.9012,0.1234,0.4567,0.7890,0.2134,Item_013
0.3456,0.8901,0.5678,0.0123,0.2345,0.6789,0.9012,0.1234,0.4567,Item_014
0.7012,0.0123,0.9012,0.4567,0.7890,0.1234,0.3456,0.6789,0.8123,Item_015
0.2567,0.3456,0.1234,0.7890,0.0123,0.4567,0.6789,0.9012,0.2345,Item_016
0.6789,0.6789,0.4567,0.2345,0.5678,0.8901,0.1234,0.3456,0.7890,Item_017
0.4321,0.9012,0.7890,0.1234,0.3456,0.6789,0.0123,0.4567,0.8901,Item_018
0.8901,0.2345,0.0123,0.5678,0.8901,0.2345,0.4567,0.7890,0.1234,Item_019
0.1234,0.5678,0.3456,0.8901,0.1234,0.5678,0.7890,0.0123,0.4567,Item_020
0.4872,0.6341,0.2918,0.7783,0.9154,0.5287,0.1043,0.8621,0.3495,Item_021
0.7135,0.1098,0.8432,0.4012,0.6387,0.1982,0.7512,0.2874,0.9321,Item_022
0.2489,0.8821,0.0765,0.9452,0.2014,0.6731,0.4891,0.5132,0.0654,Item_023
0.5761,0.4123,0.5132,0.2874,0.7951,0.0487,0.9123,0.6871,0.4287,Item_024
0.9634,0.0213,0.9512,0.6132,0.4123,0.8243,0.2543,0.1987,0.7134,Item_025
0.0876,0.7532,0.3876,0.0543,0.8812,0.5671,0.6432,0.3765,0.5891,Item_026
0.6812,0.2987,0.6132,0.7981,0.1234,0.9187,0.0321,0.8213,0.1987,Item_027
0.3145,0.5012,0.2013,0.1123,0.5781,0.3451,0.7812,0.4512,0.6734,Item_028
0.8234,0.9431,0.7231,0.4321,0.9123,0.2134,0.5132,0.0871,0.8123,Item_029
0.1987,0.1765,0.1543,0.8765,0.3451,0.6512,0.3214,0.7123,0.4987,Item_030
0.7431,0.6321,0.4981,0.5123,0.7651,0.0912,0.8132,0.6432,0.2871,Item_031
0.4123,0.8123,0.8123,0.9321,0.1543,0.7123,0.1987,0.9432,0.0123,Item_032
0.6987,0.0432,0.6432,0.2987,0.5321,0.4321,0.4765,0.2134,0.7543,Item_033
0.2345,0.3876,0.9123,0.7543,0.8123,0.8976,0.6123,0.5321,0.3876,Item_034
0.5132,0.7123,0.1324,0.0876,0.2987,0.1543,0.9321,0.8123,0.6432,Item_035
0.9123,0.5321,0.4321,0.6432,0.6432,0.3876,0.2987,0.0432,0.9123,Item_036
0.1789,0.8812,0.7654,0.3321,0.4987,0.5765,0.1432,0.9543,0.2876,Item_037
0.6332,0.1234,0.0987,0.7654,0.8123,0.2435,0.6876,0.4213,0.5987,Item_038
0.4987,0.5765,0.5432,0.1987,0.0321,0.9123,0.4765,0.7321,0.1123,Item_039
0.8123,0.2435,0.3214,0.5432,0.7654,0.0876,0.8123,0.1987,0.9321,Item_040
0.2765,0.9123,0.6543,0.8123,0.1987,0.7321,0.2987,0.5432,0.0123,Item_041
0.7213,0.4321,0.8976,0.2987,0.5432,0.1765,0.7123,0.8765,0.4321,Item_042
0.3987,0.7654,0.1234,0.6543,0.9876,0.4321,0.0987,0.3214,0.7654,Item_043
0.6543,0.0987,0.5432,0.9123,0.2435,0.8765,0.5432,0.6543,0.1987,Item_044
0.1123,0.8765,0.7123,0.3214,0.6543,0.1987,0.8765,0.0987,0.5432,Item_045
0.9321,0.3214,0.2987,0.7654,0.0987,0.5432,0.1234,0.4321,0.8765,Item_046
0.4321,0.6543,0.9876,0.1987,0.4321,0.9123,0.6543,0.2987,0.3214,Item_047
0.7890,0.1234,0.4567,0.8901,0.2345,0.6789,0.0123,0.5678,0.9012,Item_048
0.2345,0.5678,0.8901,0.1234,0.6789,0.0123,0.3456,0.7890,0.2345,Item_049
0.6789,0.9012,0.2345,0.5678,0.9012,0.2345,0.6789,0.0123,0.4567,Item_050
0.0182,0.4738,0.6829,0.9182,0.2837,0.5928,0.8291,0.1029,0.4729,Item_051
0.3829,0.8192,0.1029,0.4729,0.6829,0.1928,0.5928,0.8291,0.2837,Item_052
0.8192,0.2837,0.5928,0.8291,0.1029,0.4729,0.6829,0.1928,0.5928,Item_053
0.2837,0.5928,0.8291,0.1029,0.4729,0.6829,0.1928,0.5928,0.8291,Item_054
0.5928,0.8291,0.1029,0.4729,0.6829,0.1928,0.5928,0.8291,0.1029,Item_055
0.8291,0.1029,0.4729,0.6829,0.1928,0.5928,0.8291,0.1029,0.4729,Item_056
0.1029,0.4729,0.6829,0.1928,0.5928,0.8291,0.1029,0.4729,0.6829,Item_057
0.4729,0.6829,0.1928,0.5928,0.8291,0.1029,0.4729,0.6829,0.1928,Item_058
0.6829,0.1928,0.5928,0.8291,0.1029,0.4729,0.6829,0.1928,0.5928,Item_059
0.1928,0.5928,0.8291,0.1029,0.4729,0.6829,0.1928,0.5928,0.8291,Item_060
0.5928,0.8291,0.1029,0.4729,0.6829,0.1928,0.5928,0.8291,0.1029,Item_061
0.8291,0.1029,0.4729,0.6829,0.1928,0.5928,0.8291,0.1029,0.4729,Item_062
