EPP,SD,ECR,Renew,PfE,Others,name
0.1049,0.3409,0.3861,0.4802,0.3234,0.3697,be
0.2275,0.2817,0.6091,0.1857,0.5116,0.3076,fbe
0.7645,0.0000,0.0000,0.0000,0.0000,1.0000,gbe
0.0000,0.4706,0.0000,1.0000,0.0000,0.4647,wbe
0.8358,0.1611,0.1683,0.2990,0.0000,0.5231,bg
0.6803,0.0000,0.0000,0.0000,0.8130,0.4974,cz
0.3487,0.3441,0.2065,0.5644,0.1421,0.4135,dk
0.6926,0.3060,0.0000,0.1609,0.0000,0.7171,de
0.4933,0.4298,0.4098,0.6159,0.0000,0.2136,ee
0.4770,0.0751,0.0000,0.8265,0.0000,0.5332,ie
0.6464,0.2878,0.2612,0.0000,0.0703,0.7062,el
0.7817,0.6794,0.0000,0.0320,0.2225,0.3685,es
0.0954,0.3165,0.1522,0.2977,1.0000,0.4166,fr
0.7857,0.5845,0.2391,0.0000,0.0000,0.4813,hr
0.1528,0.5431,0.7784,0.0000,0.1276,0.4402,it
0.5604,0.2189,0.3025,0.0000,0.0000,0.8568,cy
0.5670,0.1607,0.8193,0.1911,0.1217,0.3001,lv
0.4819,0.4055,0.4134,0.2750,0.0000,0.4730,lt
0.5186,0.4894,0.3267,0.3702,0.0000,0.5510,lu
0.7100,0.1810,0.0000,0.0000,1.0000,0.2064,hu
0.8964,0.7263,0.0000,0.1850,0.2474,0.2521,mt
0.2985,0.0000,0.1008,0.4030,0.3787,0.6366,nl
0.5517,0.5126,0.0000,0.2065,0.5673,0.2602,at
0.8129,0.1446,1.0000,0.1383,0.0000,0.2105,pl
0.6964,0.7263,0.0000,0.1850,0.2474,0.2521,pt
0.8912,0.0000,0.4147,0.1735,0.0000,0.3318,ro
0.8402,0.1731,0.0000,0.4512,0.0000,0.4952,si
0.0934,0.0000,0.0000,0.5679,0.0000,0.9997,sk
0.5611,0.3304,0.2115,0.3634,0.0000,0.5335,fi
0.5243,0.5293,0.3794,0.2362,0.0000,0.4156,se
