Health,Education,Defense,Infrastructure,SocialSecurity,Other,name
14.2,12.1,1.8,8.5,48.7,14.7,be
10.5,14.9,2.3,6.2,51.3,14.8,fbe
8.9,10.4,0.9,5.5,62.2,12.1,gbe
11.7,15.2,0,9.8,47.6,15.7,wbe
9.3,12.7,2.6,7.3,52.1,16.0,bg
13.0,10.3,2.0,6.8,50.0,17.9,cz
14.9,11.8,1.7,8.0,46.3,17.3,dk
12.8,13.2,2.4,7.4,49.6,14.6,de
10.1,13.7,1.1,9.3,53.0,12.8,ee
11.3,11.9,0.6,10.2,51.4,14.6,ie
13.7,10.6,2.9,6.9,48.8,17.1,el
10.6,13.1,1.3,7.1,55.2,12.7,es
15.4,14.0,1.2,6.3,48.9,14.2,fr
11.8,10.9,1.8,9.1,50.5,15.9,hr
14.2,13.3,1.5,5.7,49.4,15.9,it
9.6,11.4,1.9,7.6,55.7,13.8,cy
13.1,12.0,1.1,6.4,50.6,16.8,lv
12.5,13.8,1.6,7.0,51.2,13.9,lt
11.4,14.2,2.2,8.2,49.0,15.0,lu
10.8,12.3,2.8,7.5,51.6,15.0,hu
9.2,10.5,3.4,8.6,52.3,16.0,mt
14.1,13.6,1.0,6.8,48.7,15.8,nl
12.9,14.1,2.1,7.3,50.4,13.2,at
13.5,10.7,2.6,8.1,48.2,16.9,pl
10.7,13.4,1.5,9.0,52.0,13.4,pt
11.2,11.1,2.0,7.2,53.1,15.4,ro
9.8,12.6,2.7,6.5,51.0,17.4,si
12.0,13.5,1.3,9.9,49.9,13.4,sk
13.6,12.9,1.6,8.4,47.8,15.7,fi
10.9,14.3,2.2,6.7,50.2,15.7,se
